"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 05 09:21:58 GMT 2022","Wed Oct 05 09:22:01 GMT 2022","2480","","Check links on homepage","","Check links on homepage","TC12 - Check redirection to Cookie Policy information from footer","TC12 - Check redirection to Cookie Policy information from footer",""
"passed","Wed Oct 05 09:22:31 GMT 2022","Wed Oct 05 09:22:38 GMT 2022","6810","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC20 - Should check ability to choose version of API Docs on ""Developers"" page","TC20 - Should check ability to choose version of API Docs on ""Developers"" page",""
"passed","Wed Oct 05 09:23:03 GMT 2022","Wed Oct 05 09:23:18 GMT 2022","15177","","Check sign in","","Check sign in","TC6 - Should check ability to Single Sign-on with not exist credentials after redirection from home page header","TC6 - Should check ability to Single Sign-on with not exist credentials after redirection from home page header",""
"passed","Wed Oct 05 09:22:47 GMT 2022","Wed Oct 05 09:23:03 GMT 2022","15855","","Check sign in","","Check sign in","TC5 - Should check ability to Log In with not exist credentials after redirection from home page header","TC5 - Should check ability to Log In with not exist credentials after redirection from home page header",""
"passed","Wed Oct 05 09:22:40 GMT 2022","Wed Oct 05 09:22:44 GMT 2022","4206","","Check search in support center","","Check search in support center","TC9 - Should check searching in support center telnyx","TC9 - Should check searching in support center telnyx",""
"passed","Wed Oct 05 09:22:52 GMT 2022","Wed Oct 05 09:23:01 GMT 2022","8853","","Check sign up","","Check sign up","TC1 - Should check ability to sign up without agree terms of conditions and privacy policy","TC1 - Should check ability to sign up without agree terms of conditions and privacy policy",""
"passed","Wed Oct 05 09:23:07 GMT 2022","Wed Oct 05 09:23:10 GMT 2022","2969","","Check sign up","","Check sign up","TC3 - Should check ability to open sign up page after clicking ""Try for free"" with invalid email","TC3 - Should check ability to open sign up page after clicking ""Try for free"" with invalid email",""
"passed","Wed Oct 05 09:21:54 GMT 2022","Wed Oct 05 09:21:58 GMT 2022","3669","","Check links on homepage","","Check links on homepage","TC11 - Check ability to activate the ""Call"" dialog from header of Homepage","TC11 - Check ability to activate the ""Call"" dialog from header of Homepage",""
"passed","Wed Oct 05 09:23:01 GMT 2022","Wed Oct 05 09:23:07 GMT 2022","5407","","Check sign up","","Check sign up","TC2 - Should check redirection to the ""Sign Up"" page after clicking ""Try for free"" button with valid email","TC2 - Should check redirection to the ""Sign Up"" page after clicking ""Try for free"" button with valid email",""
"passed","Wed Oct 05 09:21:42 GMT 2022","Wed Oct 05 09:21:54 GMT 2022","12873","","Check links on homepage","","Check links on homepage","TC10 - Should test functionality of HomePage button in header","TC10 - Should test functionality of HomePage button in header",""
"passed","Wed Oct 05 09:21:32 GMT 2022","Wed Oct 05 09:21:39 GMT 2022","6362","","Check CompanyMenuItem functionallity","","Check CompanyMenuItem functionallity","TC18 - Check redirection to telnyx marketplace page from the ""Integrations"" page","TC18 - Check redirection to telnyx marketplace page from the ""Integrations"" page",""
"passed","Wed Oct 05 09:22:20 GMT 2022","Wed Oct 05 09:22:26 GMT 2022","5823","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC16 - Should check ability to filter news by content on the ""Blog"" page","TC16 - Should check ability to filter news by content on the ""Blog"" page",""
"passed","Wed Oct 05 09:22:01 GMT 2022","Wed Oct 05 09:22:05 GMT 2022","4323","","Check links on homepage","","Check links on homepage","TC13 - Check redirection to the ""Twitter"" site from footer","TC13 - Check redirection to the ""Twitter"" site from footer",""
"passed","Wed Oct 05 09:21:47 GMT 2022","Wed Oct 05 09:21:56 GMT 2022","8712","","Check join waitlist","","Check join waitlist","TC7 - Should check ability to join waitlist for Telnyx storage after redirection from home page","TC7 - Should check ability to join waitlist for Telnyx storage after redirection from home page",""
"passed","Wed Oct 05 09:22:26 GMT 2022","Wed Oct 05 09:22:31 GMT 2022","5838","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC19 - Should check ability to filter Developer docs by category","TC19 - Should check ability to filter Developer docs by category",""
"passed","Wed Oct 05 09:21:20 GMT 2022","Wed Oct 05 09:21:32 GMT 2022","12418","","Check CompanyMenuItem functionallity","","Check CompanyMenuItem functionallity","TC17 - Check ability to submit ""Beta Tester"" form with invalid email","TC17 - Check ability to submit ""Beta Tester"" form with invalid email",""
"passed","Wed Oct 05 09:21:20 GMT 2022","Wed Oct 05 09:21:31 GMT 2022","11492","","Check ability to change country on wireless pricing page","","Check ability to change country on wireless pricing page","TC14 - Should check ability to change country on wireless pricing page","TC14 - Should check ability to change country on wireless pricing page",""
"passed","Wed Oct 05 09:22:33 GMT 2022","Wed Oct 05 09:22:40 GMT 2022","7548","","Check search in support center","","Check search in support center","TC8 - Should check search topics in main page of support center telnyx","TC8 - Should check search topics in main page of support center telnyx",""
"passed","Wed Oct 05 09:23:10 GMT 2022","Wed Oct 05 09:23:19 GMT 2022","9538","","Check sign up","","Check sign up","TC4 - Should check ability to read Privacy Policy information before Sign Up","TC4 - Should check ability to read Privacy Policy information before Sign Up",""
"passed","Wed Oct 05 09:22:09 GMT 2022","Wed Oct 05 09:22:20 GMT 2022","10945","","Check ResourcesMenuItem functionallity","","Check ResourcesMenuItem functionallity","TC15 - Should check searching for news on the ""Blog"" page","TC15 - Should check searching for news on the ""Blog"" page",""
